# Generated by ./gradlew generateGitHubDocsData from GitHub Docs.
CI	Always set to true.
GITHUB_REF_NAME	The short ref name of the branch or tag that triggered the workflow run. This value matches the branch or tag name shown on GitHub. For example, feature-branch-1. For pull requests that were not merged, the format is <pr_number>/merge.
GITHUB_REF_PROTECTED	true if branch protections or rulesets are configured for the ref that triggered the workflow run.
GITHUB_REF_TYPE	The type of ref that triggered the workflow run. Valid values are branch or tag.
GITHUB_REPOSITORY	The owner and repository name. For example, octocat/Hello-World.
GITHUB_REPOSITORY_ID	The ID of the repository. For example, 123456789. Note that this is different from the repository name.
GITHUB_REPOSITORY_OWNER	The repository owner's name. For example, octocat.
GITHUB_REPOSITORY_OWNER_ID	The repository owner's account ID. For example, 1234567. Note that this is different from the owner's name.
GITHUB_RETENTION_DAYS	The number of days that workflow run logs and artifacts are kept. For example, 90.
GITHUB_RUN_ATTEMPT	A unique number for each attempt of a particular workflow run in a repository. This number begins at 1 for the workflow run's first attempt, and increments with each re-run. For example, 3.
GITHUB_RUN_ID	A unique number for each workflow run within a repository. This number does not change if you re-run the workflow run. For example, 1658821493.
GITHUB_RUN_NUMBER	A unique number for each run of a particular workflow in a repository. This number begins at 1 for the workflow's first run, and increments with each new run. This number does not change if you re-run the workflow run. For example, 3.
GITHUB_SERVER_URL	The URL of the GitHub server. For example: https://github.com.
GITHUB_SHA	The commit SHA that triggered the workflow. The value of this commit SHA depends on the event that triggered the workflow. For more information, see Events that trigger workflows. For example, ffac537e6cbbf934b08745a378932722df287a53.
GITHUB_STEP_SUMMARY	The path on the runner to the file that contains job summaries from workflow commands. The path to this file is unique to the current step and changes for each step in a job. For example, /home/runner/_layout/_work/_temp/_runner_file_commands/step_summary_1cb22d7f-5663-41a8-9ffc-13472605c76c. For more information, see Workflow commands for GitHub Actions.
GITHUB_TRIGGERING_ACTOR	The username of the user that initiated the workflow run. If the workflow run is a re-run, this value may differ from github.actor. Any workflow re-runs will use the privileges of github.actor, even if the actor initiating the re-run (github.triggering_actor) has different privileges.
GITHUB_WORKFLOW	The name of the workflow. For example, My test workflow. If the workflow file doesn't specify a name, the value of this variable is the full path of the workflow file in the repository.
GITHUB_WORKFLOW_REF	The ref path to the workflow. For example, octocat/hello-world/.github/workflows/my-workflow.yml@refs/heads/my_branch.
GITHUB_WORKFLOW_SHA	The commit SHA for the workflow file.
GITHUB_WORKSPACE	The default working directory on the runner for steps, and the default location of your repository when using the checkout action. For example, /home/runner/work/my-repo-name/my-repo-name.
RUNNER_ARCH	The architecture of the runner executing the job. Possible values are X86, X64, ARM, or ARM64.
RUNNER_DEBUG	This is set only if debug logging is enabled, and always has the value of 1. It can be useful as an indicator to enable additional debugging or verbose logging in your own job steps.
RUNNER_ENVIRONMENT	The environment of the runner executing the job. Possible values are: github-hosted for GitHub-hosted runners provided by GitHub, and self-hosted for self-hosted runners configured by the repository owner.
RUNNER_NAME	The name of the runner executing the job. This name may not be unique in a workflow run as runners at the repository and organization levels could use the same name. For example, Hosted Agent
RUNNER_OS	The operating system of the runner executing the job. Possible values are Linux, Windows, or macOS. For example, Windows
RUNNER_TEMP	The path to a temporary directory on the runner. This directory is emptied at the beginning and end of each job. Note that files will not be removed if the runner's user account does not have permission to delete them. For example, D:\a\_temp
RUNNER_TOOL_CACHE	The path to the directory containing preinstalled tools for GitHub-hosted runners. For more information, see GitHub-hosted runners. For example, C:\hostedtoolcache\windows
