# group	key	bundle-key
permission.gitea	pull-requests	completion.workflow.permission.pull-requests
permission.gitea	wiki	completion.workflow.event.gollum
permission.gitea	projects	completion.workflow.event.project
permission.gitea	packages	completion.workflow.permission.packages
permissionValue	read	completion.workflow.permission.value.read
permissionValue	write	completion.workflow.permission.value.write
permissionValue	none	completion.workflow.permission.value.none
permissionValue.id-token	write	completion.workflow.permission.value.write
permissionValue.id-token	none	completion.workflow.permission.value.none
permissionValue.models	read	completion.workflow.permission.value.read
permissionValue.models	none	completion.workflow.permission.value.none
permissionValue.vulnerability-alerts	read	completion.workflow.permission.value.read
permissionValue.vulnerability-alerts	none	completion.workflow.permission.value.none
permissionShorthand	read-all	completion.workflow.permission.shorthand.read-all
permissionShorthand	write-all	completion.workflow.permission.shorthand.write-all
permissionShorthand	{}	completion.workflow.permission.shorthand.empty
permissionShorthand.gitea	read-all	completion.workflow.permission.shorthand.read-all
permissionShorthand.gitea	write-all	completion.workflow.permission.shorthand.write-all
cron.gitea	@yearly	completion.workflow.eventFilter.cron
cron.gitea	@monthly	completion.workflow.eventFilter.cron
cron.gitea	@weekly	completion.workflow.eventFilter.cron
cron.gitea	@daily	completion.workflow.eventFilter.cron
cron.gitea	@hourly	completion.workflow.eventFilter.cron
job	name	completion.workflow.job.name
job	permissions	completion.workflow.job.permissions
job	needs	completion.workflow.job.needs
job	if	completion.workflow.job.if
job	runs-on	completion.workflow.job.runs-on
job	snapshot	completion.workflow.job.snapshot
job	environment	completion.workflow.job.environment
job	concurrency	completion.workflow.job.concurrency
job	outputs	completion.workflow.job.outputs
job	env	completion.workflow.job.env
job	defaults	completion.workflow.job.defaults
job	steps	completion.workflow.job.steps
job	timeout-minutes	completion.workflow.job.timeout-minutes
job	strategy	completion.workflow.job.strategy
job	continue-on-error	completion.workflow.job.continue-on-error
job	container	completion.workflow.job.container
job	services	completion.workflow.job.services
job	uses	completion.workflow.job.uses
job	with	completion.workflow.job.with
job	secrets	completion.workflow.job.secrets
defaultsRun	shell	completion.workflow.defaultsRun.shell
defaultsRun	working-directory	completion.workflow.defaultsRun.working-directory
concurrency	group	completion.workflow.concurrency.group
concurrency	cancel-in-progress	completion.workflow.concurrency.cancel-in-progress
environment	name	completion.workflow.environment.name
environment	url	completion.workflow.environment.url
strategy	matrix	completion.workflow.strategy.matrix
strategy	fail-fast	completion.workflow.strategy.fail-fast
strategy	max-parallel	completion.workflow.strategy.max-parallel
matrix	include	completion.workflow.matrix.include
matrix	exclude	completion.workflow.matrix.exclude
step	id	completion.workflow.step.id
step	if	completion.workflow.step.if
step	name	completion.workflow.step.name
step	uses	completion.workflow.step.uses
step	run	completion.workflow.step.run
step	shell	completion.workflow.step.shell
step	with	completion.workflow.step.with
step	env	completion.workflow.step.env
step	continue-on-error	completion.workflow.step.continue-on-error
step	timeout-minutes	completion.workflow.step.timeout-minutes
step	working-directory	completion.workflow.step.working-directory
container	image	completion.workflow.container.image
container	credentials	completion.workflow.container.credentials
container	env	completion.workflow.container.env
container	ports	completion.workflow.container.ports
container	volumes	completion.workflow.container.volumes
container	options	completion.workflow.container.options
service	image	completion.workflow.service.image
service	credentials	completion.workflow.service.credentials
service	env	completion.workflow.service.env
service	ports	completion.workflow.service.ports
service	volumes	completion.workflow.service.volumes
service	options	completion.workflow.service.options
credentials	username	completion.workflow.credentials.username
credentials	password	completion.workflow.credentials.password
inputType.workflow_dispatch	string	completion.workflow.inputType.string
inputType.workflow_dispatch	boolean	completion.workflow.inputType.boolean
inputType.workflow_dispatch	choice	completion.workflow.inputType.choice
inputType.workflow_dispatch	number	completion.workflow.inputType.number
inputType.workflow_dispatch	environment	completion.workflow.inputType.environment
inputType.workflow_call	string	completion.workflow.inputType.string
inputType.workflow_call	boolean	completion.workflow.inputType.boolean
inputType.workflow_call	number	completion.workflow.inputType.number
trigger.workflow_dispatch	inputs	completion.context.inputs
trigger.workflow_call	inputs	completion.context.inputs
trigger.workflow_call	outputs	completion.jobs.outputs
trigger.workflow_call	secrets	completion.context.secrets
boolean	true	completion.workflow.boolean.true
boolean	false	completion.workflow.boolean.false
runner	ubuntu-latest	completion.workflow.runner.ubuntu-latest
runner	ubuntu-24.04	completion.workflow.runner.ubuntu-24.04
runner	ubuntu-22.04	completion.workflow.runner.ubuntu-22.04
runner	windows-latest	completion.workflow.runner.windows-latest
runner	windows-2025	completion.workflow.runner.windows-2025
runner	windows-2022	completion.workflow.runner.windows-2022
runner	macos-latest	completion.workflow.runner.macos-latest
runner	macos-15	completion.workflow.runner.macos-15
runner	macos-14	completion.workflow.runner.macos-14
runner	self-hosted	completion.workflow.runner.self-hosted
